date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS10M,RH2M,PS,ALLSKY_SFC_SW_DWN,NDVI,temp_range,heat_index_approx
2019-01-01,22.95,29.87,17.58,0.0,3.83,63.55,101.57,19.24,0.14006353840893712,12.290000000000003,28.807426772542872
2019-01-02,22.79,29.54,17.05,0.0,3.74,64.73,101.51,19.48,0.12788602191414544,12.489999999999998,28.69875094161872
2019-01-03,22.74,28.33,17.96,0.0,3.34,66.54,101.54,11.29,0.1153711883186576,10.369999999999997,28.795624387453163
2019-01-04,23.05,27.24,19.8,0.02,2.59,76.15,101.45,10.37,0.1698611132351309,7.439999999999998,30.111295313103888
2019-01-05,24.07,28.95,20.61,0.19,2.87,79.08,101.31,5.95,0.1481568466707696,8.34,31.866915368341104
2019-01-06,26.63,32.45,21.73,0.32,2.36,75.83,101.24,14.35,0.09933966157315305,10.720000000000002,35.3327605885369
2019-01-07,27.31,33.52,21.7,0.05,2.6,72.81,101.15,17.14,0.11589319627652075,11.820000000000004,36.005876896387086
2019-01-08,27.24,32.82,23.06,0.26,2.79,80.04,101.14,14.19,0.14832547193213066,9.760000000000002,36.760329847566155
2019-01-09,27.59,32.9,23.29,0.08,1.84,77.49,101.18,14.02,0.12081984184409755,9.61,36.997373315431105
2019-01-10,27.65,33.37,22.72,0.0,1.88,73.64,101.13,15.56,0.11488545252923597,10.649999999999999,36.621313948168144
2019-01-11,28.18,33.38,23.52,0.01,1.17,71.75,101.15,16.52,0.10142539437064399,9.860000000000003,37.194821915314726
2019-01-12,28.96,34.94,23.86,0.0,2.0,66.32,101.09,18.97,0.15601978596220487,11.079999999999998,37.677527874552155
2019-01-13,28.7,35.27,22.5,0.0,2.25,64.06,101.06,19.4,0.14971330326425142,12.770000000000003,36.9948906053146
2019-01-14,28.3,34.08,22.53,0.0,1.55,64.39,100.97,18.95,0.07551285912322103,11.549999999999997,36.44664201015662
2019-01-15,27.95,32.46,23.7,0.41,1.64,70.01,101.0,16.16,0.11256925643436838,8.760000000000002,36.62940279179108
2019-01-16,27.13,31.96,23.11,0.05,2.2,67.13,101.07,16.77,0.09955583973975665,8.850000000000001,35.063531490187756
2019-01-17,26.89,33.94,21.28,0.0,3.49,62.93,101.07,18.78,0.12516946322563438,12.659999999999997,34.22333218286745
2019-01-18,25.74,31.91,20.78,0.0,3.49,62.88,101.19,14.8,0.15061897176180236,11.129999999999999,32.587665475696234
2019-01-19,26.65,33.34,20.61,0.0,2.66,63.71,101.12,18.02,0.13605680879634113,12.730000000000004,33.9703840685243
2019-01-20,28.44,35.26,21.82,0.0,2.04,61.05,101.08,19.33,0.11595178771027123,13.439999999999998,36.22702464155742
2019-01-21,28.7,35.25,22.82,0.0,2.51,62.29,101.14,19.37,0.09699588306126725,12.43,36.76569990329451
2019-01-22,27.54,34.66,22.77,0.0,3.57,59.41,101.26,21.23,0.10257062595985698,11.889999999999997,34.73143313990745
2019-01-23,26.25,34.55,19.66,0.0,3.16,57.28,101.27,21.58,0.09757210696855961,14.889999999999997,32.67848956446876
2019-01-24,26.71,34.95,19.14,0.0,2.66,52.35,101.24,21.9,0.09976040139267732,15.810000000000002,32.746334949167846
